aa.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). A SNOPATH/-L preload-path library member (tests.in: `-Laa/aa.sno preload1.sno`, `SNOPATH=aa:bb include4.sno`), not a top-level test; the nested aa/aa.sno copy is the real preload target (see preload1.sno in UNGRADED.tsv, which IS gradable through it).
bb.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). Same class as aa.sno: a SNOPATH/-L preload-path library member (tests.in: `-Laa/aa.sno -Lbb/bb.sno preload2.sno`, `SNOPATH=aa:bb include4.sno`), not a top-level test.
aa/aa.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: `csnobol4 -b aa/aa.sno` -> rc=1, "aa/aa.sno:1: Error 32 in statement 0 at level 0 / Missing END statement" (measured 2026-09-06). BYTE-IDENTICAL to the top-level aa.sno above (md5 verified), and it is the file `-Laa/aa.sno` actually resolves to -- shipped a second time at this relative path so the preload search finds it. It needs its own ruling because lib_inventory.sh censuses shipped BY EXTENSION OVER THE WHOLE TREE, so a top-level reading of this package never sees it; without this row the buckets sum to 131 against shipped=132.
bb/bb.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: `csnobol4 -b bb/bb.sno` -> rc=1, "bb/bb.sno:1: Error 32 in statement 0 at level 0 / Missing END statement" (measured 2026-09-06). Same class as aa/aa.sno immediately above: byte-identical to the top-level bb.sno (md5 verified), the file `-Lbb/bb.sno` resolves to, and the second of the two nested preload targets of preload2.sno.
basename.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). A `-INCLUDE`-only function library (`DEFINE("BASENAME(X,SEP)")`, itself `-INCLUDE 'host.sno'`); no top-level executable statement is ever reached when run standalone. Not registered in upstream tests.in.
host.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). Machine-generated HOST() function-code header library ("THIS FILE IS MACHINE GENERATED DO NOT EDIT"), `-INCLUDE`-only. Not registered in upstream tests.in.
json.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). `-INCLUDE`-only JSON_ENCODE/JSON_DECODE function library. Not registered in upstream tests.in.
line2.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). Documented by this runner's OWN header as line.sno's `-INCLUDE` sibling ("line.sno -> line2.sno"); not a standalone test.
utf.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). `-INCLUDE`-only UTF-8 rune-handling function library (RANGE/RUNE/etc). Not registered in upstream tests.in.
bench.sno	NEEDS_INPUT	oracle exits rc=1 "NO FILENAME ON COMMAND LINE" with no argv. A general-purpose SIL-to-C translator tool (genc family) that reads its OWN source path from argv via HOST(2,HOST(3)); no fixture argv is shipped for it. Even if one were supplied, its output embeds DATE() (`OUTPUT = '/* generated from ' SILPATH ' by genc.sno on ' DATE ' */'`), so no run could ever be byte-reproducible against a stored ref.
preload3.sno	NEEDS_INPUT	oracle exits rc=0 with EMPTY output when run exactly as tests.in registers it (`SNOBOL_PRELOAD_PATH=pa:pb preload3.sno`). "pa"/"pb" are not vendored anywhere in this corpus (unlike aa/, bb/, which ARE — see preload1.sno/preload2.sno in UNGRADED.tsv), so the preload path resolves to nothing. Empty output is a plausible correct answer for a path that resolves to nothing, but not one this census will mint a ref for absent a real pa/pb fixture (this suite's own precedent: never mint a vacuous empty ref, ALL.excluded.txt).
preload4.sno	NEEDS_INPUT	oracle exits rc=0 with EMPTY output when run exactly as tests.in registers it (`SNOPATH=pa:pb preload4.sno`). Same missing pa/pb fixture as preload3.sno.
8bit2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: 
base.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
breakline.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
conv2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
crlf.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
diag1.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
diag2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: 
func2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
hide.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
include2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
include3.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
include4.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
k.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
ndbm.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): CSNOBOL4 LOAD() module test
noexec.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
random.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): CSNOBOL4 LOAD() module test
setexit5.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: 
setexit6.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: 
setexit.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: 
sleep.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): CSNOBOL4 LOAD() module test
space2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).
